Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm
CINVANTI,APREPITANT,J0185,"INJ., APREPITANT, 1 MG","2024 (Q1-Q4)",40604,181761,42289189.43,1041.50304,232.6637146
CINVANTI,APREPITANT,J0185,"INJ., APREPITANT, 1 MG","2025 (Q1-Q3)",32836,139968,33080836.41,1007.456341,236.3457105
LEMTRADA,ALEMTUZUMAB,J0202,"INJECTION, ALEMTUZUMAB","2024 (Q1-Q4)",25,102,2693035.44,107721.4176,26402.30824
LEMTRADA,ALEMTUZUMAB,J0202,"INJECTION, ALEMTUZUMAB","2025 (Q1-Q3)",20,58,1128782.96,56439.148,19461.77517
LAMZEDE,"VELMANASE ALFA-TYCV",J0217,"INJ VELMANASE ALFA-TYCV 1 MG","2024 (Q1-Q4)","",65,2049467.33,"",31530.26662
LAMZEDE,"VELMANASE ALFA-TYCV",J0217,"INJ VELMANASE ALFA-TYCV 1 MG","2025 (Q1-Q3)","",62,1804585.85,"",29106.22339
XENPOZYME,"OLIPUDASE ALFA-RPCP",J0218,"INJ OLIPUDASE ALFA-RPCP 1MG","2024 (Q1-Q4)","",18,1345196.48,"",74733.13778
NEXVIAZYME,"AVALGLUCOSIDASE ALFA-NGPT",J0219,"INJ AVAL ALFA-NQPT 4MG","2024 (Q1-Q4)",122,2092,73807183.94,604976.9175,35280.68066
NEXVIAZYME,"AVALGLUCOSIDASE ALFA-NGPT",J0219,"INJ AVAL ALFA-NQPT 4MG","2025 (Q1-Q3)",104,1491,54997163.81,528818.8828,36886.09243
LUMIZYME,"ALGLUCOSIDASE ALFA",J0221,"LUMIZYME INJECTION","2024 (Q1-Q4)",31,429,17113295.97,552041.8055,39891.1328
LUMIZYME,"ALGLUCOSIDASE ALFA",J0221,"LUMIZYME INJECTION","2025 (Q1-Q3)",17,248,7770108.32,457065.1953,31331.08194
ONPATTRO,"PATISIRAN SODIUM,LIPID COMPLEX",J0222,"INJ., PATISIRAN, 0.1 MG","2024 (Q1-Q4)",84,944,24036499.81,286148.8073,25462.39387
ONPATTRO,"PATISIRAN SODIUM,LIPID COMPLEX",J0222,"INJ., PATISIRAN, 0.1 MG","2025 (Q1-Q3)",65,632,16001486.4,246176.7139,25318.8076
GIVLAARI,"GIVOSIRAN SODIUM",J0223,"INJ GIVOSIRAN 0.5 MG","2024 (Q1-Q4)",43,363,16016945.48,372487.1042,44123.81675
GIVLAARI,"GIVOSIRAN SODIUM",J0223,"INJ GIVOSIRAN 0.5 MG","2025 (Q1-Q3)",49,336,15921368.02,324925.878,47385.02387
OXLUMO,"LUMASIRAN SODIUM",J0224,"INJ. LUMASIRAN, 0.5 MG","2024 (Q1-Q4)","",44,3667203.35,"",83345.53068
OXLUMO,"LUMASIRAN SODIUM",J0224,"INJ. LUMASIRAN, 0.5 MG","2025 (Q1-Q3)","",26,2782205.7,"",107007.9115
AMVUTTRA,"VUTRISIRAN SODIUM",J0225,"INJ, VUTRISIRAN, 1 MG","2024 (Q1-Q4)",604,3106,229333991.1,379692.0383,73835.79882
AMVUTTRA,"VUTRISIRAN SODIUM",J0225,"INJ, VUTRISIRAN, 1 MG","2025 (Q1-Q3)",2115,6248,456775671,215969.5844,73107.50177
VEKLURY,REMDESIVIR,J0248,"INJ, REMDESIVIR, 1 MG","2024 (Q1-Q4)",7401,13479,14636168.33,1977.593343,1085.849717
VEKLURY,REMDESIVIR,J0248,"INJ, REMDESIVIR, 1 MG","2025 (Q1-Q3)",2098,3848,4235217.85,2018.69297,1100.628339
"ARALAST NP*","ALPHA-1-PROTEINASE INHIBITOR*",J0256,"ALPHA 1 PROTEINASE INHIBITOR","2024 (Q1-Q4)",1388,41368,131308738.3,94602.83739,3174.162113
"ARALAST NP*","ALPHA-1-PROTEINASE INHIBITOR*",J0256,"ALPHA 1 PROTEINASE INHIBITOR","2025 (Q1-Q3)",1321,30456,99675404.59,75454.50764,3272.767422
GLASSIA,"ALPHA-1-PROTEINASE INHIBITOR",J0257,"GLASSIA INJECTION","2024 (Q1-Q4)",254,7212,22508786.99,88617.27161,3121.018717
GLASSIA,"ALPHA-1-PROTEINASE INHIBITOR",J0257,"GLASSIA INJECTION","2025 (Q1-Q3)",264,5930,18761308.06,71065.56083,3163.795626
"AMIKACIN SULFATE","AMIKACIN SULFATE",J0278,"AMIKACIN SULFATE INJECTION","2024 (Q1-Q4)",1805,5313,30388.77,16.83588366,5.719700734
"AMIKACIN SULFATE","AMIKACIN SULFATE",J0278,"AMIKACIN SULFATE INJECTION","2025 (Q1-Q3)",1319,3252,13165.97,9.981781653,4.048576261
AMINOPHYLLINE,AMINOPHYLLINE,J0280,"AMINOPHYLLIN 250 MG INJ","2024 (Q1-Q4)",37758,38009,337010.58,8.925541077,8.86659949
AMINOPHYLLINE,AMINOPHYLLINE,J0280,"AMINOPHYLLIN 250 MG INJ","2025 (Q1-Q3)",27668,27788,248437.1,8.979221483,8.940445516
"AMIODARONE HCL","AMIODARONE HCL",J0282,"AMIODARONE HCL","2024 (Q1-Q4)",36,38,1314.19,36.50527778,34.58394737
"AMIODARONE HCL","AMIODARONE HCL",J0282,"AMIODARONE HCL","2025 (Q1-Q3)",25,27,1353.42,54.1368,50.12666667
"AMPHOTERICIN B","AMPHOTERICIN B",J0285,"AMPHOTERICIN B","2024 (Q1-Q4)",46,134,14941.63,324.8180435,111.5047015
"AMPHOTERICIN B","AMPHOTERICIN B",J0285,"AMPHOTERICIN B","2025 (Q1-Q3)",40,68,9882.08,247.052,145.3247059
ABELCET,"AMPHOTERICIN B LIPID COMPLEX",J0287,"AMPHOTERICIN B LIPID COMPLEX","2024 (Q1-Q4)",62,226,2791.58,45.02548387,12.35212389
ABELCET,"AMPHOTERICIN B LIPID COMPLEX",J0287,"AMPHOTERICIN B LIPID COMPLEX","2025 (Q1-Q3)",24,71,5358.97,223.2904167,75.4784507
AMBISOME*,"AMPHOTERICIN B LIPOSOME*",J0289,"AMPHOTERICIN B LIPOSOME INJ","2024 (Q1-Q4)",205,1088,1807245.6,8815.832195,1661.071324
AMBISOME*,"AMPHOTERICIN B LIPOSOME*",J0289,"AMPHOTERICIN B LIPOSOME INJ","2025 (Q1-Q3)",134,790,1352966.35,10096.76381,1712.615633
"AMPICILLIN SODIUM","AMPICILLIN SODIUM",J0290,"AMPICILLIN 500 MG INJ","2024 (Q1-Q4)",526,1152,10110.89,19.22222434,8.776814236
"AMPICILLIN SODIUM","AMPICILLIN SODIUM",J0290,"AMPICILLIN 500 MG INJ","2025 (Q1-Q3)",357,778,4066.35,11.39033613,5.226670951
ZEMDRI,"PLAZOMICIN SULFATE",J0291,"INJ., PLAZOMICIN, 5 MG","2024 (Q1-Q4)",29,227,165052.7,5691.472414,727.1044053
ZEMDRI,"PLAZOMICIN SULFATE",J0291,"INJ., PLAZOMICIN, 5 MG","2025 (Q1-Q3)",18,162,123693.3,6871.85,763.5388889
AMPICILLIN-SULBACTAM*,"AMPICILLIN SOD*",J0295,"AMPICILLIN SULBACTAM 1.5 GM","2024 (Q1-Q4)",581,1283,12228.53,21.04738382,9.531200312
AMPICILLIN-SULBACTAM*,"AMPICILLIN SOD*",J0295,"AMPICILLIN SULBACTAM 1.5 GM","2025 (Q1-Q3)",464,820,4850.02,10.45262931,5.914658537
ERAXIS,ANIDULAFUNGIN,J0348,"ANIDULAFUNGIN INJECTION","2024 (Q1-Q4)",11,128,6593.74,599.4309091,51.51359375
ERAXIS,ANIDULAFUNGIN,J0348,"ANIDULAFUNGIN INJECTION","2025 (Q1-Q3)","",27,1618.28,"",59.9362963
REZZAYO,"REZAFUNGIN ACETATE",J0349,"INJ, REZAFUNGIN, 1 MG","2024 (Q1-Q4)",107,407,1100128.94,10281.57888,2703.019509
REZZAYO,"REZAFUNGIN ACETATE",J0349,"INJ, REZAFUNGIN, 1 MG","2025 (Q1-Q3)",183,707,2032964.07,11109.09328,2875.47959
"HYDRALAZINE HCL","HYDRALAZINE HCL",J0360,"HYDRALAZINE HCL INJECTION","2024 (Q1-Q4)",705,806,6003.42,8.515489362,7.448411911
"HYDRALAZINE HCL","HYDRALAZINE HCL",J0360,"HYDRALAZINE HCL INJECTION","2025 (Q1-Q3)",485,523,3277.5,6.757731959,6.266730402
"ABILIFY MAINTENA",ARIPIPRAZOLE,J0401,"INJ, ABILIFY MAINTENA, 1 MG","2024 (Q1-Q4)",594,2890,4924101.93,8289.733889,1703.841498
"ABILIFY MAINTENA",ARIPIPRAZOLE,J0401,"INJ, ABILIFY MAINTENA, 1 MG","2025 (Q1-Q3)",474,2098,4039197.64,8521.514008,1925.26103
"ABILIFY ASIMTUFII",ARIPIPRAZOLE,J0402,"INJ, ABILIFY ASIMTUFII, 1 MG","2024 (Q1-Q4)",22,45,89190.88,4054.130909,1982.019556
"ABILIFY ASIMTUFII",ARIPIPRAZOLE,J0402,"INJ, ABILIFY ASIMTUFII, 1 MG","2025 (Q1-Q3)",32,83,95640.24,2988.7575,1152.292048
AZITHROMYCIN*,AZITHROMYCIN*,J0456,AZITHROMYCIN,"2024 (Q1-Q4)",451,771,2751.05,6.099889135,3.568158236
AZITHROMYCIN*,AZITHROMYCIN*,J0456,AZITHROMYCIN,"2025 (Q1-Q3)",307,463,1595.28,5.196351792,3.445529158
AZACTAM*,AZTREONAM*,J0457,"INJECTION, AZTREONAM, 100 MG","2024 (Q1-Q4)",982,1754,116709.29,118.8485642,66.53893387
AZACTAM*,AZTREONAM*,J0457,"INJECTION, AZTREONAM, 100 MG","2025 (Q1-Q3)",38,315,31914.47,839.8544737,101.3157778
"ATROPINE SULFATE","ATROPINE SULFATE",J0461,"ATROPINE SULFATE INJECTION","2024 (Q1-Q4)",9157,50884,184231.89,20.11924102,3.620625147
"ATROPINE SULFATE","ATROPINE SULFATE",J0461,"ATROPINE SULFATE INJECTION","2025 (Q1-Q3)",7056,36598,147922.38,20.96405612,4.041815946
BACLOFEN(J0475)*,BACLOFEN*,J0475,"BACLOFEN 10 MG INJECTION","2024 (Q1-Q4)",6458,19780,17166110.39,2658.115576,867.8518903
BACLOFEN(J0475)*,BACLOFEN*,J0475,"BACLOFEN 10 MG INJECTION","2025 (Q1-Q3)",5697,13706,11746477.03,2061.870639,857.0317401
BACLOFEN(J0476)*,BACLOFEN*,J0476,"BACLOFEN INTRATHECAL TRIAL","2024 (Q1-Q4)",36,51,3484.29,96.78583333,68.31941177
BACLOFEN(J0476)*,BACLOFEN*,J0476,"BACLOFEN INTRATHECAL TRIAL","2025 (Q1-Q3)",15,22,1660.75,110.7166667,75.48863636
SIMULECT,BASILIXIMAB,J0480,BASILIXIMAB,"2024 (Q1-Q4)",207,396,1778495.75,8591.766908,4491.150884
SIMULECT,BASILIXIMAB,J0480,BASILIXIMAB,"2025 (Q1-Q3)",164,324,1503583.81,9168.193963,4640.690772
NULOJIX,BELATACEPT,J0485,"BELATACEPT INJECTION","2024 (Q1-Q4)",6789,60385,122273606.6,18010.54744,2024.900332
NULOJIX,BELATACEPT,J0485,"BELATACEPT INJECTION","2025 (Q1-Q3)",6977,49813,101680455.3,14573.66423,2041.243357
BENLYSTA,BELIMUMAB,J0490,"BELIMUMAB INJECTION","2024 (Q1-Q4)",3685,30416,125518092.8,34061.89765,4126.712679
BENLYSTA,BELIMUMAB,J0490,"BELIMUMAB INJECTION","2025 (Q1-Q3)",3612,24358,104219737.7,28853.74797,4278.66564
SAPHNELO,ANIFROLUMAB-FNIA,J0491,"INJ ANIFROLUMAB-FNIA 1MG","2024 (Q1-Q4)",1878,12980,64591786.55,34393.92255,4976.254742
SAPHNELO,ANIFROLUMAB-FNIA,J0491,"INJ ANIFROLUMAB-FNIA 1MG","2025 (Q1-Q3)",2043,12152,63074544.55,30873.49219,5190.466141
BENTYL*,"DICYCLOMINE HCL*",J0500,"DICYCLOMINE INJECTION","2024 (Q1-Q4)",140,219,7394.1,52.815,33.7630137
BENTYL*,"DICYCLOMINE HCL*",J0500,"DICYCLOMINE INJECTION","2025 (Q1-Q3)",58,59,727.09,12.53603448,12.32355932
"BENZTROPINE MESYLATE","BENZTROPINE MESYLATE",J0515,"INJ BENZTROPINE MESYLATE","2024 (Q1-Q4)","",39,914.55,"",23.45
"BENZTROPINE MESYLATE","BENZTROPINE MESYLATE",J0515,"INJ BENZTROPINE MESYLATE","2025 (Q1-Q3)","",56,1489.76,"",26.60285714
"FASENRA PEN*",BENRALIZUMAB*,J0517,"INJ., BENRALIZUMAB, 1 MG","2024 (Q1-Q4)",9899,50141,241302104.9,24376.41226,4812.470931
"FASENRA PEN*",BENRALIZUMAB*,J0517,"INJ., BENRALIZUMAB, 1 MG","2025 (Q1-Q3)",9869,39515,187881211.1,19037.51252,4754.680781
"BICILLIN C-R","PEN G BENZ",J0558,"PENG BENZATHINE/PROCAINE INJ","2024 (Q1-Q4)",66,92,12614.76,191.1327273,137.1169565
"BICILLIN C-R","PEN G BENZ",J0558,"PENG BENZATHINE/PROCAINE INJ","2025 (Q1-Q3)",46,61,4555.07,99.02326087,74.67327869
"BICILLIN L-A","PENICILLIN G BENZATHINE",J0561,"PENICILLIN G BENZATHINE INJ","2024 (Q1-Q4)",3546,5661,2295919.41,647.4674027,405.5678166
"BICILLIN L-A","PENICILLIN G BENZATHINE",J0561,"PENICILLIN G BENZATHINE INJ","2025 (Q1-Q3)",2315,3850,1892117.2,817.3292441,491.459013
ZINPLAVA,BEZLOTOXUMAB,J0565,"INJ, BEZLOTOXUMAB, 10 MG","2024 (Q1-Q4)",1834,1863,7126930.33,3886.003452,3825.512791
ZINPLAVA,BEZLOTOXUMAB,J0565,"INJ, BEZLOTOXUMAB, 10 MG","2025 (Q1-Q3)",362,363,1376610.6,3802.791713,3792.315703
BRIXADI(J0577),BUPRENORPHINE,J0577,"INJ, BRIXADI, 7 DAYS OR LESS","2024 (Q1-Q4)",14,36,19431.53,1387.966429,539.7647222
BRIXADI(J0577),BUPRENORPHINE,J0577,"INJ, BRIXADI, 7 DAYS OR LESS","2025 (Q1-Q3)",23,42,11381.42,494.8443478,270.9861905
BRIXADI(J0578),BUPRENORPHINE,J0578,"INJ BRIXADI, MORE THAN 7 DAY","2024 (Q1-Q4)",42,98,120202.02,2861.952857,1226.551225
BRIXADI(J0578),BUPRENORPHINE,J0578,"INJ BRIXADI, MORE THAN 7 DAY","2025 (Q1-Q3)",89,315,393619.96,4422.69618,1249.587175
ANGIOMAX*,BIVALIRUDIN*,J0583,BIVALIRUDIN,"2024 (Q1-Q4)",15,16,780.93,52.062,48.808125
CRYSVITA,BUROSUMAB-TWZA,J0584,"INJECTION, BUROSUMAB-TWZA 1M","2024 (Q1-Q4)",81,801,24173202.25,298434.5957,30178.77934
CRYSVITA,BUROSUMAB-TWZA,J0584,"INJECTION, BUROSUMAB-TWZA 1M","2025 (Q1-Q3)",84,642,19073961.62,227070.9717,29710.22059
"BOTOX COSMETIC*",ONABOTULINUMTOXINA*,J0585,"INJECTION,ONABOTULINUMTOXINA","2024 (Q1-Q4)",165145,403438,478703261.8,2898.684561,1186.559674
"BOTOX COSMETIC*",ONABOTULINUMTOXINA*,J0585,"INJECTION,ONABOTULINUMTOXINA","2025 (Q1-Q3)",162259,331597,394638645.9,2432.152583,1190.115248
DYSPORT,ABOBOTULINUMTOXINA,J0586,ABOBOTULINUMTOXINA,"2024 (Q1-Q4)",3905,9668,14172339.52,3629.280287,1465.901895
DYSPORT,ABOBOTULINUMTOXINA,J0586,ABOBOTULINUMTOXINA,"2025 (Q1-Q3)",4019,8137,12422839.2,3091.02742,1526.709991
MYOBLOC,RIMABOTULINUMTOXINB,J0587,"INJ, RIMABOTULINUMTOXINB","2024 (Q1-Q4)",3614,8682,7618611.1,2108.082762,877.5179797
MYOBLOC,RIMABOTULINUMTOXINB,J0587,"INJ, RIMABOTULINUMTOXINB","2025 (Q1-Q3)",2417,4419,4947117.75,2046.80089,1119.510693
XEOMIN,INCOBOTULINUMTOXINA,J0588,"INCOBOTULINUMTOXIN A","2024 (Q1-Q4)",12166,29642,28662882.23,2355.982429,966.9685659
XEOMIN,INCOBOTULINUMTOXINA,J0588,"INCOBOTULINUMTOXIN A","2025 (Q1-Q3)",12459,25435,25002765.52,2006.803557,983.006311
DAXXIFY,DAXIBOTULINUMTOXINA-LANM,J0589,"INJ DAXIBOTULINUMTOXINA-LANM","2024 (Q1-Q4)",346,522,552674.27,1597.32448,1058.762969
DAXXIFY,DAXIBOTULINUMTOXINA-LANM,J0589,"INJ DAXIBOTULINUMTOXINA-LANM","2025 (Q1-Q3)",624,1064,813583.55,1303.819792,764.6461936
