Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm
"DOBUTAMINE HCL-D5W*","DOBUTAMINE HCL IN DEXTROSE 5 %*",J1250,"INJ DOBUTAMINE HCL/250 MG","2025 (Q1-Q3)",2371,6631,525662.78,221.7050949,79.27353039
"DOPAMINE HCL IN 5% DEXTROSE*","DOPAMINE HCL IN DEXTROSE 5 %*",J1265,"DOPAMINE INJECTION","2024 (Q1-Q4)",23,434,21648.68,941.2469565,49.88175115
"DOPAMINE HCL IN 5% DEXTROSE*","DOPAMINE HCL IN DEXTROSE 5 %*",J1265,"DOPAMINE INJECTION","2025 (Q1-Q3)",12,291,10107.51,842.2925,34.73371134
DOXERCALCIFEROL*,DOXERCALCIFEROL*,J1270,"INJECTION, DOXERCALCIFEROL","2024 (Q1-Q4)",12,40,10.74,0.895,0.2685
DOXERCALCIFEROL*,DOXERCALCIFEROL*,J1270,"INJECTION, DOXERCALCIFEROL","2025 (Q1-Q3)","",19,19.81,"",1.042631579
"DOXY 100*","DOXYCYCLINE HYCLATE*",J1271,"INJ DOXYCYCLINE HYCLATE 1 MG","2025 (Q1-Q3)",48,62,7591.73,158.1610417,122.4472581
SOLIRIS(J1299),ECULIZUMAB,J1299,"INJ, ECULIZUMAB, 2 MG","2025 (Q1-Q3)",612,5173,137779370.5,225129.6903,26634.3264
SOLIRIS(J1300),ECULIZUMAB,J1300,"ECULIZUMAB INJECTION","2024 (Q1-Q4)",956,12217,337501138.2,353034.6634,27625.53313
SOLIRIS(J1300),ECULIZUMAB,J1300,"ECULIZUMAB INJECTION","2025 (Q1-Q3)",546,2567,69711170.38,127676.1362,27156.66941
EDARAVONE*,EDARAVONE*,J1301,"INJECTION, EDARAVONE, 1 MG","2024 (Q1-Q4)",33,1722,2704989.16,81969.36849,1570.841556
EDARAVONE*,EDARAVONE*,J1301,"INJECTION, EDARAVONE, 1 MG","2025 (Q1-Q3)",15,542,896825.75,59788.38333,1654.660055
ENJAYMO,SUTIMLIMAB-JOME,J1302,"INJ, SUTIMLIMAB-JOME, 10 MG","2024 (Q1-Q4)",180,2560,33866256.83,188145.8713,13229.00657
ENJAYMO,SUTIMLIMAB-JOME,J1302,"INJ, SUTIMLIMAB-JOME, 10 MG","2025 (Q1-Q3)",200,2307,30777301.23,153886.5062,13340.83278
ULTOMIRIS,RAVULIZUMAB-CWVZ,J1303,"INJ., RAVULIZUMAB-CWVZ 10 MG","2024 (Q1-Q4)",1846,10796,609805690.2,330338.9438,56484.40999
ULTOMIRIS,RAVULIZUMAB-CWVZ,J1303,"INJ., RAVULIZUMAB-CWVZ 10 MG","2025 (Q1-Q3)",1893,9534,534617098.5,282417.9073,56074.79531
QALSODY,TOFERSEN,J1304,"INJ TOFERSEN INTRATHEC 1 MG","2024 (Q1-Q4)",54,394,5842931.41,108202.4335,14829.77515
QALSODY,TOFERSEN,J1304,"INJ TOFERSEN INTRATHEC 1 MG","2025 (Q1-Q3)",75,471,7219623.14,96261.64187,15328.28692
EVKEEZA,EVINACUMAB-DGNB,J1305,"INJ, EVINACUMAB-DGNB, 5MG","2024 (Q1-Q4)",63,541,21844436.35,346737.0849,40377.88604
EVKEEZA,EVINACUMAB-DGNB,J1305,"INJ, EVINACUMAB-DGNB, 5MG","2025 (Q1-Q3)",79,548,23129246,292775.2658,42206.65329
LEQVIO,"INCLISIRAN SODIUM",J1306,"INJECTION, INCLISIRAN, 1 MG","2024 (Q1-Q4)",48306,87737,296358017.5,6135.014646,3377.79976
LEQVIO,"INCLISIRAN SODIUM",J1306,"INJECTION, INCLISIRAN, 1 MG","2025 (Q1-Q3)",63168,94175,322096237.2,5099.041242,3420.188343
FAMOTIDINE,FAMOTIDINE,J1308,"INJ, FAMOTIDINE, 0.25 MG","2025 (Q1-Q3)",28906,107761,73316.34,2.536370996,0.680360613
VIMIZIM,"ELOSULFASE ALFA",J1322,"ELOSULFASE ALFA, INJECTION","2024 (Q1-Q4)","",110,2569193.55,"",23356.305
ELREXFIO,ELRANATAMAB-BCMM,J1323,"INJ, ELRANATAMAB-BCMM, 1 MG","2024 (Q1-Q4)",277,2469,33099870.14,119494.116,13406.18475
ELREXFIO,ELRANATAMAB-BCMM,J1323,"INJ, ELRANATAMAB-BCMM, 1 MG","2025 (Q1-Q3)",405,3519,49721412.54,122768.9199,14129.41533
"EPOPROSTENOL SODIUM*","EPOPROSTENOL SODIUM*",J1325,"EPOPROSTENOL INJECTION","2024 (Q1-Q4)",259,4020,9926182.72,38325.02981,2469.199682
"EPOPROSTENOL SODIUM*","EPOPROSTENOL SODIUM*",J1325,"EPOPROSTENOL INJECTION","2025 (Q1-Q3)",198,2399,6323977.04,31939.27798,2636.088804
VYLOY,ZOLBETUXIMAB-CLZB,J1326,"INJ, ZOLBETUXIMAB-CLZB, 2 MG","2025 (Q1-Q3)",194,559,9106684.38,46941.67206,16291.02751
ERTAPENEM*,"ERTAPENEM SODIUM*",J1335,"ERTAPENEM INJECTION","2024 (Q1-Q4)",6674,59388,1432555.97,214.6472835,24.121977
ERTAPENEM*,"ERTAPENEM SODIUM*",J1335,"ERTAPENEM INJECTION","2025 (Q1-Q3)",5416,48533,1000158.48,184.6673708,20.60780253
"ERYTHROCIN LACTOBIONATE*","ERYTHROMYCIN LACTOBIONATE*",J1364,"ERYTHRO LACTOBIONATE /500 MG","2024 (Q1-Q4)",90,94,10306.95,114.5216667,109.6484043
DELESTROGEN*,"ESTRADIOL VALERATE*",J1380,"ESTRADIOL VALERATE 10 MG INJ","2024 (Q1-Q4)",524,3086,36341.2,69.35343512,11.77615036
DELESTROGEN*,"ESTRADIOL VALERATE*",J1380,"ESTRADIOL VALERATE 10 MG INJ","2025 (Q1-Q3)",387,2121,19672.17,50.83248062,9.274950495
PREMARIN,"ESTROGENS, CONJUGATED",J1410,"INJ ESTROGEN CONJUGATE 25 MG","2024 (Q1-Q4)",103,201,27592.99,267.8931068,137.2785572
PREMARIN,"ESTROGENS, CONJUGATED",J1410,"INJ ESTROGEN CONJUGATE 25 MG","2025 (Q1-Q3)",94,154,20427.51,217.3139362,132.6461688
ETHAMOLIN,"ETHANOLAMINE OLEATE",J1430,"ETHANOLAMINE OLEATE 100 MG","2024 (Q1-Q4)",16,26,13503.58,843.97375,519.3684615
ETHAMOLIN,"ETHANOLAMINE OLEATE",J1430,"ETHANOLAMINE OLEATE 100 MG","2025 (Q1-Q3)",14,15,11493.2,820.9428571,766.2133333
FOCINVEZ,"FOSAPREPITANT DIMEGLUMINE",J1434,"INJ, FOCINVEZ, 1MG","2024 (Q1-Q4)",2217,7664,3387914.52,1528.152693,442.0556524
FOCINVEZ,"FOSAPREPITANT DIMEGLUMINE",J1434,"INJ, FOCINVEZ, 1MG","2025 (Q1-Q3)",4971,21444,9398389.66,1890.643665,438.2759588
MONOFERRIC,"FERRIC DERISOMALTOSE",J1437,"INJ. FE DERISOMALTOSE 10 MG","2024 (Q1-Q4)",41976,54677,107986829.3,2572.585031,1974.995506
MONOFERRIC,"FERRIC DERISOMALTOSE",J1437,"INJ. FE DERISOMALTOSE 10 MG","2025 (Q1-Q3)",41579,52101,102748651.4,2471.166968,1972.105168
INJECTAFER,"FERRIC CARBOXYMALTOSE",J1439,"INJ FERRIC CARBOXYMALTOS 1MG","2024 (Q1-Q4)",73227,147599,131269995.9,1792.644734,889.3691417
INJECTAFER,"FERRIC CARBOXYMALTOSE",J1439,"INJ FERRIC CARBOXYMALTOS 1MG","2025 (Q1-Q3)",53244,102374,91393479.22,1716.502878,892.7411181
REBYOTA,"FECAL MICROBIOTA, LIVE-JSLM",J1440,"FECAL MICROBIOTA JSLM 1 ML","2024 (Q1-Q4)",407,430,3820343.82,9386.594152,8884.520512
REBYOTA,"FECAL MICROBIOTA, LIVE-JSLM",J1440,"FECAL MICROBIOTA JSLM 1 ML","2025 (Q1-Q3)",432,456,4210019.91,9745.416458,9232.499803
NEUPOGEN,FILGRASTIM,J1442,"INJ FILGRASTIM EXCL BIOSIMIL","2024 (Q1-Q4)",4058,21263,9918831.11,2444.265922,466.4831449
NEUPOGEN,FILGRASTIM,J1442,"INJ FILGRASTIM EXCL BIOSIMIL","2025 (Q1-Q3)",2492,11928,5562279.75,2232.054474,466.3212399
GRANIX,TBO-FILGRASTIM,J1447,"INJ TBO FILGRASTIM 1 MICROG","2024 (Q1-Q4)",2993,13192,2887258.17,964.6702873,218.8643246
GRANIX,TBO-FILGRASTIM,J1447,"INJ TBO FILGRASTIM 1 MICROG","2025 (Q1-Q3)",2039,8374,1622476.26,795.7215596,193.7516432
COSELA,"TRILACICLIB DIHYDROCHLORIDE",J1448,"INJECTION, TRILACICLIB, 1MG","2024 (Q1-Q4)",798,6220,20356986.25,25510.00783,3272.827371
COSELA,"TRILACICLIB DIHYDROCHLORIDE",J1448,"INJECTION, TRILACICLIB, 1MG","2025 (Q1-Q3)",629,4681,15680883.93,24929.86316,3349.900434
ROLVEDON,EFLAPEGRASTIM-XNST,J1449,"INJ EFLAPEGRASTIM-XNST 0.1MG","2024 (Q1-Q4)",6293,21515,73760786.18,11721.08473,3428.342374
ROLVEDON,EFLAPEGRASTIM-XNST,J1449,"INJ EFLAPEGRASTIM-XNST 0.1MG","2025 (Q1-Q3)",5711,19483,55099720.11,9647.998619,2828.092189
FLUCONAZOLE-NACL,"FLUCONAZOLE IN NACL,ISO-OSM",J1450,FLUCONAZOLE,"2024 (Q1-Q4)",56,202,923.81,16.49660714,4.573316832
FLUCONAZOLE-NACL,"FLUCONAZOLE IN NACL,ISO-OSM",J1450,FLUCONAZOLE,"2025 (Q1-Q3)",23,96,357.65,15.55,3.725520833
EMEND*,"FOSAPREPITANT DIMEGLUMINE*",J1453,"FOSAPREPITANT INJECTION","2024 (Q1-Q4)",21356,104374,2207242.28,103.3546675,21.14743404
EMEND*,"FOSAPREPITANT DIMEGLUMINE*",J1453,"FOSAPREPITANT INJECTION","2025 (Q1-Q3)",14912,67071,1204569.74,80.77855016,17.959621
AKYNZEO(J1454),FOSNETUPITANT,J1454,"INJ FOSNETUPITANT, PALONOSET","2024 (Q1-Q4)",7455,35689,24417815.97,3275.360962,684.1832489
AKYNZEO(J1454),FOSNETUPITANT,J1454,"INJ FOSNETUPITANT, PALONOSET","2025 (Q1-Q3)",6812,29915,18669344.97,2740.655457,624.0797249
"FOSCARNET SODIUM","FOSCARNET SODIUM",J1455,"FOSCARNET SODIUM INJECTION","2024 (Q1-Q4)",108,498,672423.58,6226.144259,1350.248153
"FOSCARNET SODIUM","FOSCARNET SODIUM",J1455,"FOSCARNET SODIUM INJECTION","2025 (Q1-Q3)",83,406,141161.9,1700.745783,347.6894089
"FOSAPREPITANT DIMEGLUMINE","FOSAPREPITANT DIMEGLUMINE",J1456,"INJ, FOSAPREPITANT (TEVA)","2024 (Q1-Q4)",533,1354,275385.19,516.6701501,203.3864033
"FOSAPREPITANT DIMEGLUMINE","FOSAPREPITANT DIMEGLUMINE",J1456,"INJ, FOSAPREPITANT (TEVA)","2025 (Q1-Q3)",758,2517,366801.17,483.9065567,145.7295074
NAGLAZYME,GALSULFASE,J1458,"GALSULFASE INJECTION","2024 (Q1-Q4)","",23,393377.41,"",17103.36565
PRIVIGEN,"IMMUN GLOB G(IGG)",J1459,"INJ IVIG PRIVIGEN 500 MG","2024 (Q1-Q4)",13333,108268,440460110.5,33035.33417,4068.239096
PRIVIGEN,"IMMUN GLOB G(IGG)",J1459,"INJ IVIG PRIVIGEN 500 MG","2025 (Q1-Q3)",13615,87729,359950533.4,26437.79166,4102.982291
GAMASTAN,"IMMUNE GLOBUL G (IGG)",J1460,"GAMMA GLOBULIN 1 CC INJ","2024 (Q1-Q4)",70,530,74042.61,1057.751571,139.7030377
GAMASTAN,"IMMUNE GLOBUL G (IGG)",J1460,"GAMMA GLOBULIN 1 CC INJ","2025 (Q1-Q3)",49,362,48877.3,997.4959184,135.0201658
CUTAQUIG,"IMMUN GLOB G(IGG)-HIPP",J1551,"INJ CUTAQUIG 100 MG","2024 (Q1-Q4)",231,2121,11822298.53,51178.78152,5573.9267
CUTAQUIG,"IMMUN GLOB G(IGG)-HIPP",J1551,"INJ CUTAQUIG 100 MG","2025 (Q1-Q3)",311,2223,11853287.31,38113.46402,5332.11305
ALYGLO,"IMMUNE GLOBULIN,GAMMA(IGG)STWK",J1552,"INJ, ALYGLO, 500 MG","2025 (Q1-Q3)",480,2113,21283064.98,44339.71871,10072.43965
ASCENIV,"IMMUNE GLOBULIN,GAMMA(IGG)SLRA",J1554,"INJ. ASCENIV","2024 (Q1-Q4)",255,3151,94764370.37,371624.9818,30074.37968
ASCENIV,"IMMUNE GLOBULIN,GAMMA(IGG)SLRA",J1554,"INJ. ASCENIV","2025 (Q1-Q3)",360,3500,106989846.1,297194.017,30568.52746
CUVITRU,"IMMUN GLOB G(IGG)",J1555,"INJ CUVITRU, 100 MG","2024 (Q1-Q4)",1862,18956,119410912.3,64130.45774,6299.37288
CUVITRU,"IMMUN GLOB G(IGG)",J1555,"INJ CUVITRU, 100 MG","2025 (Q1-Q3)",1874,15015,97917893.57,52250.74363,6521.338233
BIVIGAM,"IMMUN GLOB G(IGG)",J1556,"INJ, IMM GLOB BIVIGAM, 500MG","2024 (Q1-Q4)",1145,11206,65457796.54,57168.38126,5841.316843
BIVIGAM,"IMMUN GLOB G(IGG)",J1556,"INJ, IMM GLOB BIVIGAM, 500MG","2025 (Q1-Q3)",980,6886,41981994.92,42838.77033,6096.717241
GAMMAPLEX,"IMMUN GLOB G(IGG)",J1557,"GAMMAPLEX INJECTION","2024 (Q1-Q4)",336,3483,14995599.87,44629.76152,4305.368898
GAMMAPLEX,"IMMUN GLOB G(IGG)",J1557,"GAMMAPLEX INJECTION","2025 (Q1-Q3)",292,2451,10853449.84,37169.34877,4428.172109
XEMBIFY,"IMMUNE GLOBULIN,GAMMA(IGG)KLHW",J1558,"INJ. XEMBIFY, 100 MG","2024 (Q1-Q4)",747,6829,38487124.83,51522.25546,5635.836115
XEMBIFY,"IMMUNE GLOBULIN,GAMMA(IGG)KLHW",J1558,"INJ. XEMBIFY, 100 MG","2025 (Q1-Q3)",815,5933,32835424.43,40288.86433,5534.371217
HIZENTRA,"IMMUN GLOB G(IGG)",J1559,"HIZENTRA INJECTION","2024 (Q1-Q4)",5166,57161,317884517.3,61533.97547,5561.213367
HIZENTRA,"IMMUN GLOB G(IGG)",J1559,"HIZENTRA INJECTION","2025 (Q1-Q3)",5088,42746,247491459.6,48642.18938,5789.815645
GAMMAKED*,"IMMUNE GLOBUL G*",J1561,GAMUNEX-C/GAMMAKED,"2024 (Q1-Q4)",15320,128695,545028733.9,35576.28812,4235.042029
GAMMAKED*,"IMMUNE GLOBUL G*",J1561,GAMUNEX-C/GAMMAKED,"2025 (Q1-Q3)",17602,114851,471977984.1,26813.88388,4109.480841
"GAMMAGARD S-D","IMMUN GLOB G",J1566,"IMMUNE GLOBULIN, POWDER","2024 (Q1-Q4)",978,7720,44617898.92,45621.57354,5779.520586
"GAMMAGARD S-D","IMMUN GLOB G",J1566,"IMMUNE GLOBULIN, POWDER","2025 (Q1-Q3)",976,6351,36315114.66,37208.10928,5718.01522
OCTAGAM,"IMMUN GLOBG(IGG)",J1568,"OCTAGAM INJECTION","2024 (Q1-Q4)",8749,68121,229723219.8,26257.08307,3372.281966
OCTAGAM,"IMMUN GLOBG(IGG)",J1568,"OCTAGAM INJECTION","2025 (Q1-Q3)",8783,55883,191950822.4,21854.81298,3434.869681
"GAMMAGARD LIQUID","IMMUN GLOB G(IGG)",J1569,"GAMMAGARD LIQUID INJECTION","2024 (Q1-Q4)",26109,208379,765470031.7,29318.24397,3673.450932
"GAMMAGARD LIQUID","IMMUN GLOB G(IGG)",J1569,"GAMMAGARD LIQUID INJECTION","2025 (Q1-Q3)",24686,154691,569552707.2,23071.89124,3681.873588
"GANCICLOVIR SODIUM","GANCICLOVIR SODIUM",J1570,"GANCICLOVIR SODIUM INJECTION","2024 (Q1-Q4)",186,917,211120.6,1135.056989,230.2296619
"GANCICLOVIR SODIUM","GANCICLOVIR SODIUM",J1570,"GANCICLOVIR SODIUM INJECTION","2025 (Q1-Q3)",129,540,102399.14,793.791783,189.628037
"HEPAGAM B(J1571)","HEPATITIS B IMMUN GLOB",J1571,"HEPAGAM B IM INJECTION","2024 (Q1-Q4)",12,27,20255.48,1687.956667,750.202963
"HEPAGAM B(J1571)","HEPATITIS B IMMUN GLOB",J1571,"HEPAGAM B IM INJECTION","2025 (Q1-Q3)","",16,15888.83,"",993.051875
"HEPAGAM B(J1573)","HEPATITIS B IMMUN GLOB",J1573,"HEPAGAM B INTRAVENOUS, INJ","2024 (Q1-Q4)",21,86,216872.63,10327.2681,2521.774767
"HEPAGAM B(J1573)","HEPATITIS B IMMUN GLOB",J1573,"HEPAGAM B INTRAVENOUS, INJ","2025 (Q1-Q3)",20,54,143285.21,7164.2605,2653.429815
HYQVIA,IGG,J1575,"HYQVIA 100MG IMMUNEGLOBULIN","2024 (Q1-Q4)",1171,12389,78849042.77,67334.79314,6364.439646
HYQVIA,IGG,J1575,"HYQVIA 100MG IMMUNEGLOBULIN","2025 (Q1-Q3)",1187,9622,65011815.79,54769.85324,6756.580315
PANZYGA,"IMMUN GLOB G(IGG)-IFAS",J1576,"INJ, PANZYGA, 500 MG","2024 (Q1-Q4)",1015,10739,60645463.83,59749.22545,5647.217044
PANZYGA,"IMMUN GLOB G(IGG)-IFAS",J1576,"INJ, PANZYGA, 500 MG","2025 (Q1-Q3)",1149,9314,62328990.61,54246.29296,6691.968071
"GENTAMICIN SULFATE IN NS*","GENTAMICIN IN NACL, ISO-OSM*",J1580,"GARAMYCIN GENTAMICIN INJ","2024 (Q1-Q4)",37712,57882,207626.33,5.50557727,3.587062126
"GENTAMICIN SULFATE IN NS*","GENTAMICIN IN NACL, ISO-OSM*",J1580,"GARAMYCIN GENTAMICIN INJ","2025 (Q1-Q3)",29009,43595,156855.22,5.407122617,3.598009405
GLYCOPYRROLATE(J1596),GLYCOPYRROLATE,J1596,"INJ, GLYCOPYRROLATE, 0.1 MG","2024 (Q1-Q4)",91,95,485.1,5.330769231,5.10631579
GLYCOPYRROLATE(J1596),GLYCOPYRROLATE,J1596,"INJ, GLYCOPYRROLATE, 0.1 MG","2025 (Q1-Q3)",62005,68207,97702.58,1.57572099,1.432442125
GLYCOPYRROLATE(J1598),GLYCOPYRROLATE,J1598,"INJ GLYCOPYRROLATE FRES KABI","2025 (Q1-Q3)",1087,1149,6550.84,6.026531739,5.701340296
"SIMPONI ARIA",GOLIMUMAB,J1602,"GOLIMUMAB FOR IV USE 1MG","2024 (Q1-Q4)",33452,161407,330009300.8,9865.159058,2044.578617
"SIMPONI ARIA",GOLIMUMAB,J1602,"GOLIMUMAB FOR IV USE 1MG","2025 (Q1-Q3)",32065,123322,231812325.1,7229.450337,1879.732125
GLUCAGEN*,GLUCAGON*,J1610,"GLUCAGON HYDROCHLORIDE/1 MG","2024 (Q1-Q4)",21438,22845,4764511.54,222.2460836,208.5581764
GLUCAGEN*,GLUCAGON*,J1610,"GLUCAGON HYDROCHLORIDE/1 MG","2025 (Q1-Q3)",13297,13787,2874988.1,216.2132887,208.5289113
"GLUCAGON EMERGENCY KIT*","GLUCAGON HCL*",J1611,"INJ GLUCAGON HCL, FRESENIUS","2024 (Q1-Q4)",17018,18143,2348640.73,138.0092097,129.4516194
"GLUCAGON EMERGENCY KIT*","GLUCAGON HCL*",J1611,"INJ GLUCAGON HCL, FRESENIUS","2025 (Q1-Q3)",17629,18536,2714279.23,153.9667156,146.4328458
"GRANISETRON HCL","GRANISETRON HCL",J1626,"GRANISETRON HCL INJECTION","2024 (Q1-Q4)",16478,112888,356618.77,21.64211494,3.159049412
"GRANISETRON HCL","GRANISETRON HCL",J1626,"GRANISETRON HCL INJECTION","2025 (Q1-Q3)",12784,77222,181147.39,14.16985216,2.34580029
SUSTOL,GRANISETRON,J1627,"INJ, GRANISETRON, XR, 0.1 MG","2024 (Q1-Q4)",2665,12287,6630229.07,2487.890833,539.6133369
SUSTOL,GRANISETRON,J1627,"INJ, GRANISETRON, XR, 0.1 MG","2025 (Q1-Q3)",1380,5938,3090492.65,2239.487428,520.460197
"TREMFYA ONE-PRESS*",GUSELKUMAB*,J1628,"INJ., GUSELKUMAB, 1 MG","2024 (Q1-Q4)",37,118,1073941.7,29025.45135,9101.200848
"TREMFYA ONE-PRESS*",GUSELKUMAB*,J1628,"INJ., GUSELKUMAB, 1 MG","2025 (Q1-Q3)",669,1407,19105709.24,28558.60873,13579.03997
"HALOPERIDOL LACTATE","HALOPERIDOL LACTATE",J1630,"HALOPERIDOL INJECTION","2024 (Q1-Q4)",100,177,551.73,5.5173,3.117118644
"HALOPERIDOL LACTATE","HALOPERIDOL LACTATE",J1630,"HALOPERIDOL INJECTION","2025 (Q1-Q3)",107,180,441.73,4.128317757,2.454055556
"HALDOL DECANOATE 100*","HALOPERIDOL DECANOATE*",J1631,"HALOPERIDOL DECANOATE INJ","2024 (Q1-Q4)",584,3096,41702.39,71.40820206,13.46976421
"HALDOL DECANOATE 100*","HALOPERIDOL DECANOATE*",J1631,"HALOPERIDOL DECANOATE INJ","2025 (Q1-Q3)",509,2362,18320.96,35.99402751,7.756545301
PANHEMATIN,HEMIN,J1640,"HEMIN, 1 MG","2024 (Q1-Q4)",67,850,10490088.98,156568.4922,12341.28115
PANHEMATIN,HEMIN,J1640,"HEMIN, 1 MG","2025 (Q1-Q3)",58,611,7970249.52,137418.0952,13044.59823
"HEPARIN FLUSH","HEPARIN SODIUM,PORCINE",J1642,"INJ HEPARIN SODIUM PER 10 U","2024 (Q1-Q4)",2025,9949,19932.19,9.84305679,2.003436526
"HEPARIN FLUSH","HEPARIN SODIUM,PORCINE",J1642,"INJ HEPARIN SODIUM PER 10 U","2025 (Q1-Q3)",939,4348,14331.55,15.26256656,3.296124655
"HEPARIN SODIUM","HEPARIN SODIUM,PORCINE",J1643,"INJ HEPARIN, PFIZER, 1000U","2024 (Q1-Q4)",1019,1268,58499.99,57.40921492,46.1356388
"HEPARIN SODIUM","HEPARIN SODIUM,PORCINE",J1643,"INJ HEPARIN, PFIZER, 1000U","2025 (Q1-Q3)",33,75,1022.06,30.97151515,13.62746667
"HEPARIN SODIUM IN 0.45% NACL*","HEPARIN SOD,PORK IN 0.45% NACL*",J1644,"INJ HEPARIN SODIUM PER 1000U","2024 (Q1-Q4)",6566,28477,168226.1,25.62078891,5.907437581
"HEPARIN SODIUM IN 0.45% NACL*","HEPARIN SOD,PORK IN 0.45% NACL*",J1644,"INJ HEPARIN SODIUM PER 1000U","2025 (Q1-Q3)",5542,21132,132910.72,23.98244677,6.289547606
FRAGMIN,"DALTEPARIN SODIUM,PORCINE",J1645,"DALTEPARIN SODIUM","2024 (Q1-Q4)",20,155,11543.76,577.188,74.47587097
FRAGMIN,"DALTEPARIN SODIUM,PORCINE",J1645,"DALTEPARIN SODIUM","2025 (Q1-Q3)","",49,3312.57,"",67.60346939
"ENOXAPARIN SODIUM*","ENOXAPARIN SODIUM*",J1650,"INJ ENOXAPARIN SODIUM","2024 (Q1-Q4)",822,1680,44708.53,54.38993917,26.61222024
"ENOXAPARIN SODIUM*","ENOXAPARIN SODIUM*",J1650,"INJ ENOXAPARIN SODIUM","2025 (Q1-Q3)",576,1156,46249.07,80.29352431,40.00784602
ARIXTRA*,"FONDAPARINUX SODIUM*",J1652,"FONDAPARINUX SODIUM","2024 (Q1-Q4)",28,147,2129.82,76.065,14.48857143
ARIXTRA*,"FONDAPARINUX SODIUM*",J1652,"FONDAPARINUX SODIUM","2025 (Q1-Q3)",17,45,402.84,23.69647059,8.952
HYPERTET,"TETANUS IMMUNE GLOBULIN",J1670,"TETANUS IMMUNE GLOBULIN INJ","2024 (Q1-Q4)",455,458,123691.93,271.8503956,270.0697162
HYPERTET,"TETANUS IMMUNE GLOBULIN",J1670,"TETANUS IMMUNE GLOBULIN INJ","2025 (Q1-Q3)",217,217,75399.11,347.4613364,347.4613364
"HYDROCORTISONE SOD SUCCINATE*","HYDROCORTISONE SOD SUCCINATE*",J1720,"HYDROCORTISONE SODIUM SUCC I","2024 (Q1-Q4)",7254,24943,480479.14,66.23644058,19.26308544
"HYDROCORTISONE SOD SUCCINATE*","HYDROCORTISONE SOD SUCCINATE*",J1720,"HYDROCORTISONE SODIUM SUCC I","2025 (Q1-Q3)",5867,18837,406432.58,69.27434464,21.57629028
"IBANDRONATE SODIUM","IBANDRONATE SODIUM",J1740,"IBANDRONATE SODIUM INJECTION","2024 (Q1-Q4)",616,1505,122379.87,198.6686201,81.31552824
"IBANDRONATE SODIUM","IBANDRONATE SODIUM",J1740,"IBANDRONATE SODIUM INJECTION","2025 (Q1-Q3)",419,857,61967.16,147.8929833,72.30707118
CALDOLOR,IBUPROFEN,J1741,"IBUPROFEN INJECTION","2024 (Q1-Q4)","",27,419.52,"",15.53777778
CALDOLOR,IBUPROFEN,J1741,"IBUPROFEN INJECTION","2025 (Q1-Q3)",23,30,439.76,19.12,14.65866667
ELAPRASE,IDURSULFASE,J1743,"IDURSULFASE INJECTION","2024 (Q1-Q4)","",163,3382670.47,"",20752.57957
ELAPRASE,IDURSULFASE,J1743,"IDURSULFASE INJECTION","2025 (Q1-Q3)","",124,2566589.65,"",20698.30363
INFLIXIMAB*,INFLIXIMAB*,J1745,"INFLIXIMAB NOT BIOSIMIL 10MG","2024 (Q1-Q4)",36969,218187,366711317.6,9919.427563,1680.720288
INFLIXIMAB*,INFLIXIMAB*,J1745,"INFLIXIMAB NOT BIOSIMIL 10MG","2025 (Q1-Q3)",34143,160234,259635517.5,7604.355725,1620.352219
TROGARZO,IBALIZUMAB-UIYK,J1746,"INJ., IBALIZUMAB-UIYK, 10 MG","2024 (Q1-Q4)",19,235,1563018.96,82264.15579,6651.144511
TROGARZO,IBALIZUMAB-UIYK,J1746,"INJ., IBALIZUMAB-UIYK, 10 MG","2025 (Q1-Q3)","",92,636353.84,"",6916.889565
SPEVIGO,SPESOLIMAB-SBZO,J1747,"INJ, SPESOLIMAB-SBZO, 1 MG","2024 (Q1-Q4)",47,96,4622119.74,98342.97319,48147.08063
SPEVIGO,SPESOLIMAB-SBZO,J1747,"INJ, SPESOLIMAB-SBZO, 1 MG","2025 (Q1-Q3)",32,62,2880266.4,90008.325,46455.90968
INFED,"IRON DEXTRAN COMPLEX",J1750,"INJ IRON DEXTRAN","2024 (Q1-Q4)",25321,41445,11141451.1,440.008337,268.8249753
INFED,"IRON DEXTRAN COMPLEX",J1750,"INJ IRON DEXTRAN","2025 (Q1-Q3)",25427,38086,10724679.81,421.7831364,281.5911309
VENOFER,"IRON SUCROSE COMPLEX",J1756,"IRON SUCROSE INJECTION","2024 (Q1-Q4)",15100,64348,3013397.41,199.5627424,46.82969805
VENOFER,"IRON SUCROSE COMPLEX",J1756,"IRON SUCROSE INJECTION","2025 (Q1-Q3)",11221,44726,2107069.24,187.7790963,47.11061217
CEREZYME,IMIGLUCERASE,J1786,"IMUGLUCERASE INJECTION","2024 (Q1-Q4)",140,2260,44243279.06,316023.4219,19576.67215
CEREZYME,IMIGLUCERASE,J1786,"IMUGLUCERASE INJECTION","2025 (Q1-Q3)",137,1748,33757998.47,246408.748,19312.3561
DROPERIDOL,DROPERIDOL,J1790,"DROPERIDOL INJECTION","2024 (Q1-Q4)",26,42,367.09,14.11884615,8.740238095
DROPERIDOL,DROPERIDOL,J1790,"DROPERIDOL INJECTION","2025 (Q1-Q3)",30,37,300.03,10.001,8.108918919
